20160611-M-Caltanissetta_CH-SF-Alessandro_Giannessi-Paolo_Lorenzi,alessandro giannessi,paolo lorenzi,paolo lorenzi
20160605-M-Roland_Garros-F-Andy_Murray-Novak_Djokovic,andy murray,novak djokovic,novak djokovic
20160603-M-Roland_Garros-SF-Stanislas_Wawrinka-Andy_Murray,stanislas wawrinka,andy murray,andy murray
20160603-M-Roland_Garros-SF-Novak_Djokovic-Dominic_Thiem,novak djokovic,dominic thiem,novak djokovic
20160528-M-Roland_Garros-R32-Alexander_Zverev-Dominic_Thiem,alexander zverev,dominic thiem,dominic thiem
20160521-M-Nice-F-Dominic_Thiem-Alexander_Zverev,dominic thiem,alexander zverev,dominic thiem
20160515-M-Rome_Masters-F-Andy_Murray-Novak_Djokovic,andy murray,novak djokovic,andy murray
20160512-M-Rome_Masters-R16-David_Ferrer-Lucas_Pouille,david ferrer,lucas pouille,lucas pouille
20160509-M-Seoul_CH-R32-Ho_Gi_Kang-Yuichi_Sugita,ho gi kang,yuichi sugita,yuichi sugita
20160506-M-Madrid_Masters-QF-Kei_Nishikori-Nick_Kyrgios,kei nishikori,nick kyrgios,kei nishikori
20160506-M-Madrid-QF-Andy_Murray-Tomas_Berdych,andy murray,tomas berdych,andy murray
20160505-M-Madrid-R16-Richard_Gasquet-Kei_Nishikori,richard gasquet,kei nishikori,kei nishikori
20160502-M-Madrid_Masters-R64-Lucas_Pouille-David_Goffin,lucas pouille,david goffin,lucas pouille
20160502-M-Karshi_CH-R32-Pavel_Tsoy-Nikola_Milojevic,pavel tsoy,nikola milojevic,nikola milojevic
20160501-M-Munich-F-Dominic_Thiem-Philipp_Kohlschreiber,dominic thiem,philipp kohlschreiber,philipp kohlschreiber
20160430-M-Taipei_CH-SF-Daniel_Evans-Ricardas_Berankis,daniel evans,ricardas berankis,daniel evans
20160427-M-Istanbul-R32-Teymuraz_Gabashvili-Damir_Dzumhur,teymuraz gabashvili,damir dzumhur,damir dzumhur
20160425-M-Bucharest-F-Fernando_Verdasco-Lucas_Pouille,fernando verdasco,lucas pouille,fernando verdasco
20160423-M-Bucharest-SF-Federico_Delbonis-Lucas_Pouille,federico delbonis,lucas pouille,lucas pouille
20160421-M-Barcelona-R16-Feliciano_Lopez-Philipp_Kohlschreiber,feliciano lopez,philipp kohlschreiber,philipp kohlschreiber
20160420-M-Savannah_CH-R16-Tennys_Sandgren-Gerald_Melzer,tennys sandgren,gerald melzer,gerald melzer
20160416-M-Monte_Carlo_Masters-SF-Jo_Wilfried_Tsonga-Gael_Monfils,jo wilfried tsonga,gael monfils,gael monfils
20160415-M-Gwangju_CH-QF-Grega_Zemlja-Matt_Reid,grega zemlja,matt reid,grega zemlja
20160414-M-Monte_Carlo_Masters-R16-Lucas_Pouille-Jo_Wilfried_Tsonga,lucas pouille,jo wilfried tsonga,jo wilfried tsonga
20160414-M-Monte_Carlo_Masters-R16-David_Goffin-Marcel_Granollers,david goffin,marcel granollers,marcel granollers
20160413-M-Monte_Carlo_Masters-R32-Paolo_Lorenzi-Gael_Monfils,paolo lorenzi,gael monfils,gael monfils
20160413-M-Monte_Carlo_Masters-R32-Novak_Djokovic-Jiri_Vesely,novak djokovic,jiri vesely,jiri vesely
20160413-M-Monte_Carlo_Masters-R32-Marcel_Granollers-Alexander_Zverev,marcel granollers,alexander zverev,marcel granollers
20160413-M-Monte_Carlo_Masters-R32-Dominic_Thiem-Taro_Daniel,dominic thiem,taro daniel,dominic thiem
20160412-M-Monte_Carlo_Masters-R64-Paolo_Lorenzi-Fabio_Fognini,paolo lorenzi,fabio fognini,paolo lorenzi
20160412-M-Monte_Carlo_Masters-R64-Joao_Sousa-Ivo_Karlovic,joao sousa,ivo karlovic,joao sousa
20160410-M-Marrakech-F-Federico_Delbonis-Borna_Coric,federico delbonis,borna coric,federico delbonis
20160409-M-Houston-SF-John_Isner-Jack_Sock,john isner,jack sock,jack sock
20160404-M-Marrakech-R32-Facundo_Bagnis-Lamine_Ouahab,facundo bagnis,lamine ouahab,facundo bagnis
