20150712-M-Wimbledon-F-Roger_Federer-Novak_Djokovic,roger federer,novak djokovic,novak djokovic
20150710-M-Wimbledon-SF-Roger_Federer-Andy_Murray,roger federer,andy murray,roger federer
20150708-M-Wimbledon-QF-Roger_Federer-Gilles_Simon,roger federer,gilles simon,roger federer
20150706-M-Wimbledon-R16-Andy_Murray-Ivo_Karlovic,andy murray,ivo karlovic,andy murray
20150704-M-Wimbledon-R32-Samuel_Groth-Roger_Federer,samuel groth,roger federer,roger federer
20150702-M-Wimbledon-R64-Sam_Querrey-Roger_Federer,sam querrey,roger federer,roger federer
20150702-M-Wimbledon-R64-Dustin_Brown-Rafael_Nadal,dustin brown,rafael nadal,dustin brown
20150621-M-Queens_Club-F-Andy_Murray-Kevin_Anderson,andy murray,kevin anderson,andy murray
20150621-M-Halle-F-Andreas_Seppi-Roger_Federer,andreas seppi,roger federer,roger federer
20150620-M-Halle-SF-Roger_Federer-Ivo_Karlovic,roger federer,ivo karlovic,roger federer
20150619-M-Queens_Club-QF-Kevin_Anderson-Gilles_Simon,kevin anderson,gilles simon,kevin anderson
20150619-M-Halle-QF-Tomas_Berdych-Ivo_Karlovic,tomas berdych,ivo karlovic,ivo karlovic
20150617-M-Queens_Club-R16-Stanislas_Wawrinka-Kevin_Anderson,stanislas wawrinka,kevin anderson,kevin anderson
20150613-M-s_Hertogenbosch-F-Nicolas_Mahut-David_Goffin,nicolas mahut,david goffin,nicolas mahut
20140710-M-Newport-QF-Samuel_Groth-Nicolas_Mahut,samuel groth,nicolas mahut,samuel groth
20140706-M-Wimbledon-F-Novak_Djokovic-Roger_Federer,novak djokovic,roger federer,novak djokovic
20140625-M-Wimbledon-R64-Tomas_Berdych-Bernard_Tomic,tomas berdych,bernard tomic,tomas berdych
20140614-M-Queens_Club-SF-Stanislas_Wawrinka-Grigor_Dimitrov,stanislas wawrinka,grigor dimitrov,grigor dimitrov
20140612-M-Halle-R16-Dustin_Brown-Rafael_Nadal,dustin brown,rafael nadal,dustin brown
20130714-M-Newport-F-Nicolas_Mahut-Lleyton_Hewitt,nicolas mahut,lleyton hewitt,nicolas mahut
20130707-M-Wimbledon-F-Novak_Djokovic-Andy_Murray,novak djokovic,andy murray,andy murray
20130622-M-s_Hertogenbosch-F-Nicolas_Mahut-Stanislas_Wawrinka,nicolas mahut,stanislas wawrinka,nicolas mahut
20120804-M-Olympics-F-Andy_Murray-Roger_Federer,andy murray,roger federer,andy murray
20120803-M-Olympics-SF-Juan_Martin_Del_Potro-Roger_Federer,juan martin del potro,roger federer,roger federer
20120803-M-Olympics-SF-Andy_Murray-Novak_Djokovic,andy murray,novak djokovic,andy murray
20120801-M-Olympics-R16-Novak_Djokovic-Lleyton_Hewitt,novak djokovic,lleyton hewitt,novak djokovic
20120731-M-Olympics-R32-Novak_Djokovic-Andy_Roddick,novak djokovic,andy roddick,novak djokovic
20120730-M-Olympics-R32-Juan_Martin_Del_Potro-Andreas_Seppi,juan martin del potro,andreas seppi,juan martin del potro
20120729-M-Olympics-R64-Andy_Murray-Stanislas_Wawrinka,andy murray,stanislas wawrinka,andy murray
20120708-M-Wimbledon-F-Roger_Federer-Andy_Murray,roger federer,andy murray,roger federer
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,roger federer,novak djokovic,roger federer
20110703-M-Wimbledon-F-Novak_Djokovic-Rafael_Nadal,novak djokovic,rafael nadal,novak djokovic
20110606-M-Queens_Club-SF-Andy_Murray-Andy_Roddick,andy murray,andy roddick,andy murray
20100704-M-Wimbledon-F-Tomas_Berdych-Rafael_Nadal,tomas berdych,rafael nadal,rafael nadal
20090705-M-Wimbledon-F-Andy_Roddick-Roger_Federer,andy roddick,roger federer,roger federer
20080706-M-Wimbledon-F-Roger_Federer-Rafael_Nadal,roger federer,rafael nadal,rafael nadal
20080615-M-Queens_Club-F-Novak_Djokovic-Rafael_Nadal,novak djokovic,rafael nadal,rafael nadal
20080614-M-Queens_Club-SF-Andy_Roddick-Rafael_Nadal,andy roddick,rafael nadal,rafael nadal
20070708-M-Wimbledon-F-Roger_Federer-Rafael_Nadal,roger federer,rafael nadal,roger federer
20060709-M-Wimbledon-F-Roger_Federer-Rafael_Nadal,roger federer,rafael nadal,roger federer
20060701-M-Wimbledon-R32-Rafael_Nadal-Andre_Agassi,rafael nadal,andre agassi,rafael nadal
20050703-M-Wimbledon-F-Roger_Federer-Andy_Roddick,roger federer,andy roddick,roger federer
20040704-M-Wimbledon-F-Roger_Federer-Andy_Roddick,roger federer,andy roddick,roger federer
20010702-M-Wimbledon-R16-Roger_Federer-Pete_Sampras,roger federer,pete sampras,roger federer
19990704-M-Wimbledon-F-Pete_Sampras-Andre_Agassi,pete sampras,andre agassi,pete sampras
19980705-M-Wimbledon-F-Goran_Ivanisevic-Pete_Sampras,goran ivanisevic,pete sampras,pete sampras
19950709-M-Wimbledon-F-Pete_Sampras-Boris_Becker,pete sampras,boris becker,pete sampras
19920705-M-Wimbledon-F-Andre_Agassi-Goran_Ivanisevic,andre agassi,goran ivanisevic,andre agassi
19920704-M-Wimbledon-SF-John_Mcenroe-Andre_Agassi,john mcenroe,andre agassi,andre agassi
19900708-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,boris becker,stefan edberg,stefan edberg
19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg,boris becker,stefan edberg,boris becker
19880704-M-Wimbledon-F-Stefan_Edberg-Boris_Becker,stefan edberg,boris becker,stefan edberg
