20160403-M-Miami_Masters-F-Novak_Djokovic-Kei_Nishikori,novak djokovic,kei nishikori,novak djokovic
20160329-M-Miami_Masters-R16-Andrey_Kuznetsov-Nick_Kyrgios,andrey kuznetsov,nick kyrgios,nick kyrgios
20160328-M-Miami_Masters-R32-Andrey_Kuznetsov-Adrian_Mannarino,andrey kuznetsov,adrian mannarino,andrey kuznetsov
20160328-M-Miami_Masters-R16-Roberto_Bautista_Agut-Jo_Wilfried_Tsonga,roberto bautista agut,jo wilfried tsonga,roberto bautista agut
20160328-M-Miami_Masters-QF-Milos_Raonic-Nick_Kyrgios,milos raonic,nick kyrgios,nick kyrgios
20160327-M-Miami_Masters-R32-Viktor_Troicki-David_Goffin,viktor troicki,david goffin,david goffin
20160327-M-Miami_Masters-R32-Tomas_Berdych-Steve_Johnson,tomas berdych,steve johnson,tomas berdych
20160327-M-Miami_Masters-R32-Richard_Gasquet-Benoit_Paire,richard gasquet,benoit paire,richard gasquet
20160326-M-Miami_Masters-R64-Stanislas_Wawrinka-Andrey_Kuznetsov,stanislas wawrinka,andrey kuznetsov,andrey kuznetsov
20160326-M-Miami_Masters-R64-John_Millman-Pablo_Cuevas,john millman,pablo cuevas,pablo cuevas
20160324-M-Miami_Masters-R128-John_Millman-Pablo_Carreno_Busta,john millman,pablo carreno busta,john millman
20160320-M-Indian_Wells_Masters-F-Milos_Raonic-Novak_Djokovic,milos raonic,novak djokovic,novak djokovic
20160319-M-Indian_Wells_Masters-SF-Rafael_Nadal-Novak_Djokovic,rafael nadal,novak djokovic,novak djokovic
20160317-M-Indian_Wells_Masters-QF-Marin_Cilic-David_Goffin,marin cilic,david goffin,david goffin
20160316-M-Indian_Wells_Masters-R16-Jo_Wilfried_Tsonga-Dominic_Thiem,jo wilfried tsonga,dominic thiem,jo wilfried tsonga
20160316-M-Indian_Wells_Masters-R16-Gael_Monfils-Federico_Delbonis,gael monfils,federico delbonis,gael monfils
20160315-M-Indian_Wells_Masters-R32-Gilles_Simon-Alexander_Zverev,gilles simon,alexander zverev,alexander zverev
20160314-M-Indian_Wells_Masters-R32-Stanislas_Wawrinka-Andrey_Kuznetsov,stanislas wawrinka,andrey kuznetsov,stanislas wawrinka
20160312-M-Indian_Wells_Masters-R64-Stanislas_Wawrinka-Illya_Marchenko,stanislas wawrinka,illya marchenko,stanislas wawrinka
20160312-M-Indian_Wells_Masters-R64-Jeremy_Chardy-Andrey_Kuznetsov,jeremy chardy,andrey kuznetsov,andrey kuznetsov
20160310-M-Indian_Wells_Masters-R128-Pablo_Carreno_Busta-Evgeny_Donskoy,pablo carreno busta,evgeny donskoy,pablo carreno busta
20160304-M-Quimper_CH-QF-Paul_Henri_Mathieu-Igor_Sijsling,paul henri mathieu,igor sijsling,paul henri mathieu
20160227-M-Dubai-F-Stanislas_Wawrinka-Marcos_Baghdatis,stanislas wawrinka,marcos baghdatis,stanislas wawrinka
20160220-M-Marseille-QF-Stanislas_Wawrinka-Benoit_Paire,stanislas wawrinka,benoit paire,benoit paire
20160219-M-Marseille-QF-Richard_Gasquet-Nick_Kyrgios,richard gasquet,nick kyrgios,nick kyrgios
20160219-M-Marseille-QF-Marin_Cilic-Andrey_Kuznetsov,marin cilic,andrey kuznetsov,marin cilic
20160219-M-Delray_Beach-QF-Juan_Martin_Del_Potro-Jeremy_Chardy,juan martin del potro,jeremy chardy,juan martin del potro
20160216-M-Delray_Beach-R32-Juan_Martin_Del_Potro-Denis_Kudla,juan martin del potro,denis kudla,juan martin del potro
20160213-M-Memphis-SF-Taylor_Harry_Fritz-Ricardas_Berankis,taylor harry fritz,ricardas berankis,taylor harry fritz
20160211-M-Rotterdam-R16-Nicolas_Mahut-Jeremy_Chardy,nicolas mahut,jeremy chardy,nicolas mahut
20160208-M-Rotterdam-R32-Nicolas_Mahut-Teymuraz_Gabashvili,nicolas mahut,teymuraz gabashvili,nicolas mahut
20160205-M-Sofia-QF-Martin_Klizan-Andreas_Seppi,martin klizan,andreas seppi,martin klizan
20160204-M-Montpellier-R16-Gilles_Simon-Dustin_Brown,gilles simon,dustin brown,dustin brown
20160131-M-Australian_Open-F-Novak_Djokovic-Andy_Murray,novak djokovic,andy murray,novak djokovic
20160129-M-Australian_Open-SF-Andy_Murray-Milos_Raonic,andy murray,milos raonic,andy murray
20160128-M-Australian_Open-SF-Novak_Djokovic-Roger_Federer,novak djokovic,roger federer,novak djokovic
20160127-M-Australian_Open-QF-Milos_Raonic-Gael_Monfils,milos raonic,gael monfils,milos raonic
20160126-M-Australian_Open-QF-Novak_Djokovic-Kei_Nishikori,novak djokovic,kei nishikori,novak djokovic
20160125-M-Australian_Open-R16-Stanislas_Wawrinka-Milos_Raonic,stanislas wawrinka,milos raonic,milos raonic
20160124-M-Australian_Open-R16-Novak_Djokovic-Gilles_Simon,novak djokovic,gilles simon,novak djokovic
20160122-M-Australian_Open-R32-Gilles_Simon-Federico_Delbonis,gilles simon,federico delbonis,gilles simon
20160116-M-Sydney-SF-Viktor_Troicki-Teymuraz_Gabashvili,viktor troicki,teymuraz gabashvili,viktor troicki
20160116-M-Sydney-F-Viktor_Troicki-Grigor_Dimitrov,viktor troicki,grigor dimitrov,viktor troicki
20160116-M-Chennai-F-Stanislas_Wawrinka-Borna_Coric,stanislas wawrinka,borna coric,stanislas wawrinka
20160115-M-Chennai-SF-Borna_Coric-Aljaz_Bedene,borna coric,aljaz bedene,borna coric
20160114-M-Auckland-QF-Lukas_Rosol-David_Ferrer,lukas rosol,david ferrer,david ferrer
20160113-M-Auckland-R16-Kevin_Anderson-Robin_Haase,kevin anderson,robin haase,kevin anderson
20160110-M-Doha-F-Novak_Djokovic-Rafael_Nadal,novak djokovic,rafael nadal,novak djokovic
20160110-M-Brisbane-F-Roger_Federer-Milos_Raonic,roger federer,milos raonic,milos raonic
20160109-M-Doha-SF-Novak_Djokovic-Tomas_Berdych,novak djokovic,tomas berdych,novak djokovic
20160109-M-Brisbane-SF-Roger_Federer-Dominic_Thiem,roger federer,dominic thiem,roger federer
20160109-M-Brisbane-SF-Milos_Raonic-Bernard_Tomic,milos raonic,bernard tomic,milos raonic
20160108-M-Hopman_Cup-RR-Andy_Murray-Alexander_Zverev,andy murray,alexander zverev,andy murray
20160108-M-Doha-SF-Rafael_Nadal-Illya_Marchenko,rafael nadal,illya marchenko,rafael nadal
20160108-M-Brisbane-QF-Lucas_Pouille-Milos_Raonic,lucas pouille,milos raonic,milos raonic
20160107-M-Doha-QF-Tomas_Berdych-Kyle_Edmund,tomas berdych,kyle edmund,tomas berdych
20160107-M-Doha-QF-Illya_Marchenko-Jeremy_Chardy,illya marchenko,jeremy chardy,illya marchenko
20160106-M-Doha-R16-Rafael_Nadal-Robin_Haase,rafael nadal,robin haase,rafael nadal
20160104-M-Hopman_Cup-RR-Jack_Sock-Alexandr_Dolgopolov,jack sock,alexandr dolgopolov,alexandr dolgopolov
20160104-M-Doha-R32-Novak_Djokovic-Dustin_Brown,novak djokovic,dustin brown,novak djokovic
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,roger federer,novak djokovic,novak djokovic
20151121-M-Tour_Finals-SF-Roger_Federer-Stanislas_Wawrinka,roger federer,stanislas wawrinka,roger federer
20151121-M-Tour_Finals-SF-Novak_Djokovic-Rafael_Nadal,novak djokovic,rafael nadal,novak djokovic
20151119-M-Tour_Finals-RR-Roger_Federer-Kei_Nishikori,roger federer,kei nishikori,roger federer
20151119-M-Tour_Finals-RR-Novak_Djokovic-Tomas_Berdych,novak djokovic,tomas berdych,novak djokovic
